Line no. 	 Token no. 		 Token 		 Lexeme
    374		    3498		 Digit		       1
    374		    3499		 Digit		       1
    374		    3500		 Digit		       1
    374		    3501		 Digit		       1
    374		    3502		 Digit		       1
    374		    3503		 Digit		       1
    374		    3504		 Digit		       1
    374		    3505		 Digit		       1
    374		    3506		 Digit		       1
    374		    3507		 Digit		       1
    374		    3508		 Digit		       1
    374		    3509		 Digit		       1
    374		    3510		 Digit		       1
    374		    3511		 Digit		       1
    374		    3512		 Digit		       1
    374		    3513		 Digit		       1
    374		    3514		 Digit		       1
    374		    3515		 Digit		       1
    376		    3516		 Digit		       1
    376		    3517		 Digit		       1
    376		    3518		 Digit		       1
    376		    3519		 Digit		       1
    376		    3520		 Digit		       1
    376		    3521		 Digit		       1
    376		    3522		 Digit		       1
    376		    3523		 Digit		       1
    376		    3524		 Digit		       1
    376		    3525		 Digit		       1
    376		    3526		 Digit		       1
    376		    3527		 Digit		       1
    376		    3528		 Digit		       1
    376		    3529		 Digit		       1
    376		    3530		 Digit		       1
    376		    3531		 Digit		       1
    376		    3532		 Digit		       1
    376		    3533		 Digit		       1
    376		    3534		 Digit		       1
    376		    3535		 Digit		       1
    376		    3536		 Digit		       1
    376		    3537		 Digit		       0
    376		    3538		 Digit		       1
    376		    3539		 Digit		       0
    376		    3540		 Digit		       8
    376		    3541		 Digit		       1
    376		    3542		 Digit		       0
    376		    3543		 Digit		       8
    377		    3544		 Digit		       1
    377		    3545		 Digit		       0
    377		    3546		 Digit		       8
    378		    3547		 Special symbol	       }
    378		    3548		 Special symbol	       ;
    380		    3549		 Keyword	  static
    380		    3550		 Keyword	   const
    380		    3551		 Identifier	    flex
    380		    3552		 Identifier	   int16
    380		    3553		 Identifier	       t
    380		    3554		 Identifier	      yy
    380		    3555		 Identifier	     nxt
    380		    3556		 Digit		       3
    380		    3557		 Digit		       3
    380		    3558		 Digit		       9
    381		    3559		 Special symbol	       {
    381		    3560		 Digit		       0
    382		    3561		 Digit		       4
    382		    3562		 Digit		       4
    382		    3563		 Digit		       5
    382		    3564		 Digit		       6
    382		    3565		 Digit		       7
    382		    3566		 Digit		       8
    382		    3567		 Digit		       9
    382		    3568		 Digit		       4
    382		    3569		 Digit		       1
    382		    3570		 Digit		       0
    382		    3571		 Digit		       1
    382		    3572		 Digit		       1
    383		    3573		 Digit		       1
    383		    3574		 Digit		       2
    383		    3575		 Digit		       1
    383		    3576		 Digit		       3
    383		    3577		 Digit		       4
    383		    3578		 Digit		       1
    383		    3579		 Digit		       4
    383		    3580		 Digit		       1
    383		    3581		 Digit		       5
    383		    3582		 Digit		       1
    383		    3583		 Digit		       6
    383		    3584		 Digit		       1
    383		    3585		 Digit		       7
    383		    3586		 Digit		       4
    383		    3587		 Digit		       4
    383		    3588		 Digit		       1
    383		    3589		 Digit		       7
    384		    3590		 Digit		       1
    384		    3591		 Digit		       7
    384		    3592		 Digit		       1
    384		    3593		 Digit		       8
    384		    3594		 Digit		       1
    384		    3595		 Digit		       9
    384		    3596		 Digit		       2
    384		    3597		 Digit		       0
    384		    3598		 Digit		       2
    384		    3599		 Digit		       1
    384		    3600		 Digit		       2
    384		    3601		 Digit		       2
    384		    3602		 Digit		       2
    384		    3603		 Digit		       3
    384		    3604		 Digit		       1
    384		    3605		 Digit		       7
    384		    3606		 Digit		       2
    384		    3607		 Digit		       4
    384		    3608		 Digit		       1
    384		    3609		 Digit		       7
    385		    3610		 Digit		       1
    385		    3611		 Digit		       7
    385		    3612		 Digit		       1
    385		    3613		 Digit		       7
    385		    3614		 Digit		       1
    385		    3615		 Digit		       7
    385		    3616		 Digit		       1
    385		    3617		 Digit		       7
    385		    3618		 Digit		       2
    385		    3619		 Digit		       5
    385		    3620		 Digit		       2
    385		    3621		 Digit		       6
    385		    3622		 Digit		       2
    385		    3623		 Digit		       7
    385		    3624		 Digit		       1
    385		    3625		 Digit		       7
    385		    3626		 Digit		       2
    385		    3627		 Digit		       8
    385		    3628		 Digit		       2
    385		    3629		 Digit		       9
    386		    3630		 Digit		       1
    386		    3631		 Digit		       7
    386		    3632		 Digit		       3
    386		    3633		 Digit		       0
    386		    3634		 Digit		       3
    386		    3635		 Digit		       1
    386		    3636		 Digit		       4
    386		    3637		 Digit		       1
    386		    3638		 Digit		       4
    386		    3639		 Digit		       1
    386		    3640		 Digit		       4
    386		    3641		 Digit		       1
    386		    3642		 Digit		       4
    386		    3643		 Digit		       1
    386		    3644		 Digit		       4
    386		    3645		 Digit		       1
    386		    3646		 Digit		       4
    386		    3647		 Digit		       1
    386		    3648		 Digit		       4
    386		    3649		 Digit		       1
    387		    3650		 Digit		       4
    387		    3651		 Digit		       1
    387		    3652		 Digit		       4
    387		    3653		 Digit		       1
    387		    3654		 Digit		       4
    387		    3655		 Digit		       1
    387		    3656		 Digit		       4
    387		    3657		 Digit		       1
    387		    3658		 Digit		       4
    387		    3659		 Digit		       2
    387		    3660		 Digit		       4
    387		    3661		 Digit		       3
    387		    3662		 Digit		       4
    387		    3663		 Digit		       3
    387		    3664		 Digit		       4
    387		    3665		 Digit		       3
    387		    3666		 Digit		       4
    387		    3667		 Digit		       3
    387		    3668		 Digit		       4
    387		    3669		 Digit		       3
    388		    3670		 Digit		       4
    388		    3671		 Digit		       3
    388		    3672		 Digit		       4
    388		    3673		 Digit		       3
    388		    3674		 Digit		       4
    388		    3675		 Digit		       3
    388		    3676		 Digit		       4
    388		    3677		 Digit		       3
    388		    3678		 Digit		       4
    388		    3679		 Digit		       3
    388		    3680		 Digit		       4
    388		    3681		 Digit		       3
    388		    3682		 Digit		       4
    388		    3683		 Digit		       1
    388		    3684		 Digit		       4
    388		    3685		 Digit		       5
    388		    3686		 Digit		       3
    388		    3687		 Digit		       7
    388		    3688		 Digit		       4
    388		    3689		 Digit		       1
    389		    3690		 Digit		       5
    389		    3691		 Digit		       4
    389		    3692		 Digit		       4
    389		    3693		 Digit		       8
    389		    3694		 Digit		       4
    389		    3695		 Digit		       6
    389		    3696		 Digit		       4
    389		    3697		 Digit		       4
    389		    3698		 Digit		       4
    389		    3699		 Digit		       7
    389		    3700		 Digit		       4
    389		    3701		 Digit		       9
    389		    3702		 Digit		       5
    389		    3703		 Digit		       1
    389		    3704		 Digit		       5
    389		    3705		 Digit		       0
    389		    3706		 Digit		       4
    389		    3707		 Digit		       3
    389		    3708		 Digit		       5
    389		    3709		 Digit		       5
    390		    3710		 Digit		       5
    390		    3711		 Digit		       8
    390		    3712		 Digit		       4
    390		    3713		 Digit		       3
    390		    3714		 Digit		       5
    390		    3715		 Digit		       6
    390		    3716		 Digit		       4
    390		    3717		 Digit		       1
    390		    3718		 Digit		       3
    390		    3719		 Digit		       3
    390		    3720		 Digit		       4
    390		    3721		 Digit		       1
    390		    3722		 Digit		       5
    390		    3723		 Digit		       2
    390		    3724		 Digit		       5
    390		    3725		 Digit		       7
    390		    3726		 Digit		       4
    390		    3727		 Digit		       1
    390		    3728		 Digit		       6
    390		    3729		 Digit		       0
    391		    3730		 Digit		       4
    391		    3731		 Digit		       1
    391		    3732		 Digit		       5
    391		    3733		 Digit		       9
    391		    3734		 Digit		       5
    391		    3735		 Digit		       3
    391		    3736		 Digit		       4
    391		    3737		 Digit		       1
    391		    3738		 Digit		       4
    391		    3739		 Digit		       1
    391		    3740		 Digit		       4
    391		    3741		 Digit		       3
    391		    3742		 Digit		       6
    391		    3743		 Digit		       1
    391		    3744		 Digit		       4
    391		    3745		 Digit		       3
    391		    3746		 Digit		       4
    391		    3747		 Digit		       1
    391		    3748		 Digit		       4
    391		    3749		 Digit		       1
    393		    3750		 Digit		       4
    393		    3751		 Digit		       3
    393		    3752		 Digit		       4
    393		    3753		 Digit		       1
    393		    3754		 Digit		       4
    393		    3755		 Digit		       3
    393		    3756		 Digit		       6
    393		    3757		 Digit		       3
    393		    3758		 Digit		       6
    393		    3759		 Digit		       2
    393		    3760		 Digit		       4
    393		    3761		 Digit		       3
    393		    3762		 Digit		       4
    393		    3763		 Digit		       3
    393		    3764		 Digit		       4
    393		    3765		 Digit		       1
    393		    3766		 Digit		       4
    393		    3767		 Digit		       1
    393		    3768		 Digit		       4
    393		    3769		 Digit		       1
    394		    3770		 Digit		       4
    394		    3771		 Digit		       3
    394		    3772		 Digit		       4
    394		    3773		 Digit		       3
    394		    3774		 Digit		       3
    394		    3775		 Digit		       3
    394		    3776		 Digit		       4
    394		    3777		 Digit		       3
    394		    3778		 Digit		       4
    394		    3779		 Digit		       0
    394		    3780		 Digit		       3
    394		    3781		 Digit		       9
    394		    3782		 Digit		       6
    394		    3783		 Digit		       4
    394		    3784		 Digit		       4
    394		    3785		 Digit		       1
    394		    3786		 Digit		       4
    394		    3787		 Digit		       1
    394		    3788		 Digit		       4
    394		    3789		 Digit		       3
    395		    3790		 Digit		       4
    395		    3791		 Digit		       3
    395		    3792		 Digit		       4
    395		    3793		 Digit		       3
    395		    3794		 Digit		       4
    395		    3795		 Digit		       1
    395		    3796		 Digit		       3
    395		    3797		 Digit		       8
    395		    3798		 Digit		       6
    395		    3799		 Digit		       6
    395		    3800		 Digit		       6
    395		    3801		 Digit		       5
    395		    3802		 Digit		       6
    395		    3803		 Digit		       7
    395		    3804		 Digit		       6
    395		    3805		 Digit		       8
    395		    3806		 Digit		       6
    395		    3807		 Digit		       0
    395		    3808		 Digit		       4
    395		    3809		 Digit		       3
    396		    3810		 Digit		       4
    396		    3811		 Digit		       3
    396		    3812		 Digit		       4
    396		    3813		 Digit		       1
    396		    3814		 Digit		       6
    396		    3815		 Digit		       9
    396		    3816		 Digit		       4
    396		    3817		 Digit		       1
    396		    3818		 Digit		       4
    396		    3819		 Digit		       3
    396		    3820		 Digit		       6
    396		    3821		 Digit		       1
    396		    3822		 Digit		       4
    396		    3823		 Digit		       1
    396		    3824		 Digit		       4
    396		    3825		 Digit		       1
    396		    3826		 Digit		       3
    396		    3827		 Digit		       7
    396		    3828		 Digit		       7
    396		    3829		 Digit		       0
    397		    3830		 Digit		       7
    397		    3831		 Digit		       1
    397		    3832		 Digit		       7
    397		    3833		 Digit		       3
    397		    3834		 Digit		       3
    397		    3835		 Digit		       6
    397		    3836		 Digit		       4
    397		    3837		 Digit		       3
    397		    3838		 Digit		       3
    397		    3839		 Digit		       5
    397		    3840		 Digit		       4
    397		    3841		 Digit		       3
    397		    3842		 Digit		       7
    397		    3843		 Digit		       2
    397		    3844		 Digit		       4
    397		    3845		 Digit		       1
    397		    3846		 Digit		       4
    397		    3847		 Digit		       3
    397		    3848		 Digit		       4
    397		    3849		 Digit		       3
    398		    3850		 Digit		       7
    398		    3851		 Digit		       4
    398		    3852		 Digit		       7
    398		    3853		 Digit		       7
    398		    3854		 Digit		       4
    398		    3855		 Digit		       1
    398		    3856		 Digit		       4
    398		    3857		 Digit		       1
    398		    3858		 Digit		       7
    398		    3859		 Digit		       5
    398		    3860		 Digit		       4
    398		    3861		 Digit		       1
    398		    3862		 Digit		       7
    398		    3863		 Digit		       6
    398		    3864		 Digit		       4
    398		    3865		 Digit		       1
    398		    3866		 Digit		       3
    398		    3867		 Digit		       3
    398		    3868		 Digit		       4
    398		    3869		 Digit		       3
    399		    3870		 Digit		       1
    399		    3871		 Digit		       0
    399		    3872		 Digit		       8
    399		    3873		 Digit		       4
    399		    3874		 Digit		       1
    399		    3875		 Digit		       4
    399		    3876		 Digit		       1
    399		    3877		 Digit		       4
    399		    3878		 Digit		       1
    399		    3879		 Digit		       4
    399		    3880		 Digit		       3
    399		    3881		 Digit		       4
    399		    3882		 Digit		       3
    399		    3883		 Digit		       7
    399		    3884		 Digit		       8
    399		    3885		 Digit		       4
    399		    3886		 Digit		       3
    399		    3887		 Digit		       8
    399		    3888		 Digit		       0
    399		    3889		 Digit		       4
    399		    3890		 Digit		       3
    400		    3891		 Digit		       8
    400		    3892		 Digit		       2
    400		    3893		 Digit		       4
    400		    3894		 Digit		       1
    400		    3895		 Digit		       8
    400		    3896		 Digit		       1
    400		    3897		 Digit		       4
    400		    3898		 Digit		       3
    400		    3899		 Digit		       4
    400		    3900		 Digit		       3
    400		    3901		 Digit		       4
    400		    3902		 Digit		       3
    400		    3903		 Digit		       1
    400		    3904		 Digit		       0
    400		    3905		 Digit		       8
    400		    3906		 Digit		       4
    400		    3907		 Digit		       1
    400		    3908		 Digit		       7
    400		    3909		 Digit		       9
    400		    3910		 Digit		       4
    400		    3911		 Digit		       1
    401		    3912		 Digit		       4
    401		    3913		 Digit		       1
    401		    3914		 Digit		       4
    401		    3915		 Digit		       1
    401		    3916		 Digit		       4
    401		    3917		 Digit		       1
    401		    3918		 Digit		       4
    401		    3919		 Digit		       3
    401		    3920		 Digit		       4
    401		    3921		 Digit		       1
    401		    3922		 Digit		       4
    401		    3923		 Digit		       1
    401		    3924		 Digit		       1
    401		    3925		 Digit		       0
    401		    3926		 Digit		       8
    401		    3927		 Digit		       1
    401		    3928		 Digit		       0
    401		    3929		 Digit		       8
    401		    3930		 Digit		       8
    401		    3931		 Digit		       3
    401		    3932		 Digit		       4
    401		    3933		 Digit		       3
    402		    3934		 Digit		       4
    402		    3935		 Digit		       1
    402		    3936		 Digit		       4
    402		    3937		 Digit		       3
    402		    3938		 Digit		       4
    402		    3939		 Digit		       3
    402		    3940		 Digit		       4
    402		    3941		 Digit		       3
    402		    3942		 Digit		       4
    402		    3943		 Digit		       3
    402		    3944		 Digit		       8
    402		    3945		 Digit		       4
    402		    3946		 Digit		       4
    402		    3947		 Digit		       3
    402		    3948		 Digit		       4
    402		    3949		 Digit		       3
    402		    3950		 Digit		       8
    402		    3951		 Digit		       7
    402		    3952		 Digit		       8
    402		    3953		 Digit		       8
    404		    3954		 Digit		       4
    404		    3955		 Digit		       1
    404		    3956		 Digit		       1
    404		    3957		 Digit		       0
    404		    3958		 Digit		       8
    404		    3959		 Digit		       4
    404		    3960		 Digit		       3
    404		    3961		 Digit		       8
    404		    3962		 Digit		       5
    404		    3963		 Digit		       4
    404		    3964		 Digit		       1
    404		    3965		 Digit		       8
    404		    3966		 Digit		       9
    404		    3967		 Digit		       9
    404		    3968		 Digit		       0
    404		    3969		 Digit		       4
    404		    3970		 Digit		       1
    404		    3971		 Digit		       8
    404		    3972		 Digit		       6
    404		    3973		 Digit		       4
    404		    3974		 Digit		       1
    405		    3975		 Digit		       9
    405		    3976		 Digit		       2
    405		    3977		 Digit		       4
    405		    3978		 Digit		       1
    405		    3979		 Digit		       4
    405		    3980		 Digit		       3
    405		    3981		 Digit		       9
    405		    3982		 Digit		       1
    405		    3983		 Digit		       4
    405		    3984		 Digit		       1
    405		    3985		 Digit		       4
    405		    3986		 Digit		       1
    405		    3987		 Digit		       4
    405		    3988		 Digit		       3
    405		    3989		 Digit		       4
    405		    3990		 Digit		       1
    405		    3991		 Digit		       4
    405		    3992		 Digit		       1
    405		    3993		 Digit		       4
    405		    3994		 Digit		       3
    406		    3995		 Digit		       4
    406		    3996		 Digit		       1
    406		    3997		 Digit		       4
    406		    3998		 Digit		       3
    406		    3999		 Digit		       4
    406		    4000		 Digit		       1
    406		    4001		 Digit		       4
    406		    4002		 Digit		       3
    406		    4003		 Digit		       4
    406		    4004		 Digit		       1
    406		    4005		 Digit		       1
    406		    4006		 Digit		       0
    406		    4007		 Digit		       8
    406		    4008		 Digit		       4
    406		    4009		 Digit		       3
    406		    4010		 Digit		       4
    406		    4011		 Digit		       3
    406		    4012		 Digit		       9
    406		    4013		 Digit		       5
    406		    4014		 Digit		       4
    406		    4015		 Digit		       3
    407		    4016		 Digit		       4
    407		    4017		 Digit		       3
    407		    4018		 Digit		       9
    407		    4019		 Digit		       6
    407		    4020		 Digit		       4
    407		    4021		 Digit		       3
    407		    4022		 Digit		       9
    407		    4023		 Digit		       7
    407		    4024		 Digit		       4
    407		    4025		 Digit		       3
    407		    4026		 Digit		       9
    407		    4027		 Digit		       3
    407		    4028		 Digit		       4
    407		    4029		 Digit		       3
    407		    4030		 Digit		       9
    407		    4031		 Digit		       8
    407		    4032		 Digit		       9
    407		    4033		 Digit		       4
    407		    4034		 Digit		       4
    407		    4035		 Digit		       1
    408		    4036		 Digit		       4
    408		    4037		 Digit		       1
    408		    4038		 Digit		       4
    408		    4039		 Digit		       1
    408		    4040		 Digit		       4
    408		    4041		 Digit		       1
    408		    4042		 Digit		       1
    408		    4043		 Digit		       0
    408		    4044		 Digit		       0
    408		    4045		 Digit		       4
    408		    4046		 Digit		       1
    408		    4047		 Digit		       4
    408		    4048		 Digit		       1
    408		    4049		 Digit		       4
    408		    4050		 Digit		       1
    408		    4051		 Digit		       4
    408		    4052		 Digit		       1
    408		    4053		 Digit		       9
    408		    4054		 Digit		       9
    408		    4055		 Digit		       4
    408		    4056		 Digit		       1
    409		    4057		 Digit		       4
    409		    4058		 Digit		       1
    409		    4059		 Digit		       4
    409		    4060		 Digit		       3
    409		    4061		 Digit		       4
    409		    4062		 Digit		       3
    409		    4063		 Digit		       4
    409		    4064		 Digit		       3
    409		    4065		 Digit		       4
    409		    4066		 Digit		       3
    409		    4067		 Digit		       4
    409		    4068		 Digit		       1
    409		    4069		 Digit		       4
    409		    4070		 Digit		       3
    409		    4071		 Digit		       4
    409		    4072		 Digit		       3
    409		    4073		 Digit		       4
    409		    4074		 Digit		       3
    409		    4075		 Digit		       4
    409		    4076		 Digit		       3
    410		    4077		 Digit		       1
    410		    4078		 Digit		       0
    410		    4079		 Digit		       8
    410		    4080		 Digit		       4
    410		    4081		 Digit		       3
    410		    4082		 Digit		       4
    410		    4083		 Digit		       3
    410		    4084		 Digit		       1
    410		    4085		 Digit		       0
    410		    4086		 Digit		       4
    410		    4087		 Digit		       1
    410		    4088		 Digit		       0
    410		    4089		 Digit		       3
    410		    4090		 Digit		       4
    410		    4091		 Digit		       1
    410		    4092		 Digit		       1
    410		    4093		 Digit		       0
    410		    4094		 Digit		       1
    410		    4095		 Digit		       4
    410		    4096		 Digit		       3
    410		    4097		 Digit		       4
    410		    4098		 Digit		       1
    410		    4099		 Digit		       4
    410		    4100		 Digit		       1
    411		    4101		 Digit		       4
    411		    4102		 Digit		       1
    411		    4103		 Digit		       1
    411		    4104		 Digit		       0
    411		    4105		 Digit		       8
    411		    4106		 Digit		       1
    411		    4107		 Digit		       0
    411		    4108		 Digit		       2
    411		    4109		 Digit		       1
    411		    4110		 Digit		       0
    411		    4111		 Digit		       8
    411		    4112		 Digit		       1
    411		    4113		 Digit		       0
    411		    4114		 Digit		       8
    411		    4115		 Digit		       1
    411		    4116		 Digit		       0
    411		    4117		 Digit		       8
    411		    4118		 Digit		       1
    411		    4119		 Digit		       0
    411		    4120		 Digit		       8
    411		    4121		 Digit		       4
    411		    4122		 Digit		       3
    411		    4123		 Digit		       1
    411		    4124		 Digit		       0
    411		    4125		 Digit		       5
    411		    4126		 Digit		       1
    411		    4127		 Digit		       0
    411		    4128		 Digit		       8
    412		    4129		 Digit		       4
    412		    4130		 Digit		       3
    412		    4131		 Digit		       4
    412		    4132		 Digit		       3
    412		    4133		 Digit		       4
    412		    4134		 Digit		       3
    412		    4135		 Digit		       1
    412		    4136		 Digit		       0
    412		    4137		 Digit		       8
    412		    4138		 Digit		       1
    412		    4139		 Digit		       0
    412		    4140		 Digit		       8
    412		    4141		 Digit		       1
    412		    4142		 Digit		       0
    412		    4143		 Digit		       6
    412		    4144		 Digit		       1
    412		    4145		 Digit		       0
    412		    4146		 Digit		       8
    412		    4147		 Digit		       1
    412		    4148		 Digit		       0
    412		    4149		 Digit		       7
    412		    4150		 Digit		       3
    412		    4151		 Digit		       2
    412		    4152		 Digit		       1
    412		    4153		 Digit		       0
    412		    4154		 Digit		       8
    413		    4155		 Digit		       3
    413		    4156		 Digit		       2
    413		    4157		 Digit		       3
    413		    4158		 Digit		       4
    413		    4159		 Digit		       1
    413		    4160		 Digit		       0
    413		    4161		 Digit		       8
    413		    4162		 Digit		       3
    413		    4163		 Digit		       4
    413		    4164		 Digit		       3
    413		    4165		 Digit		       1
    413		    4166		 Digit		       0
    413		    4167		 Digit		       8
    413		    4168		 Digit		       1
    413		    4169		 Digit		       0
    413		    4170		 Digit		       8
    413		    4171		 Digit		       1
    413		    4172		 Digit		       0
    413		    4173		 Digit		       8
    413		    4174		 Digit		       1
    413		    4175		 Digit		       0
    413		    4176		 Digit		       8
    413		    4177		 Digit		       1
    413		    4178		 Digit		       0
    413		    4179		 Digit		       8
    415		    4180		 Digit		       1
    415		    4181		 Digit		       0
    415		    4182		 Digit		       8
    415		    4183		 Digit		       1
    415		    4184		 Digit		       0
    415		    4185		 Digit		       8
    415		    4186		 Digit		       1
    415		    4187		 Digit		       0
    415		    4188		 Digit		       8
    415		    4189		 Digit		       1
    415		    4190		 Digit		       0
    415		    4191		 Digit		       8
    415		    4192		 Digit		       1
    415		    4193		 Digit		       0
    415		    4194		 Digit		       8
    415		    4195		 Digit		       1
    415		    4196		 Digit		       0
    415		    4197		 Digit		       8
    415		    4198		 Digit		       1
    415		    4199		 Digit		       0
    415		    4200		 Digit		       8
    415		    4201		 Digit		       1
    415		    4202		 Digit		       0
    415		    4203		 Digit		       8
    415		    4204		 Digit		       1
    415		    4205		 Digit		       0
    415		    4206		 Digit		       8
    415		    4207		 Digit		       1
    415		    4208		 Digit		       0
    415		    4209		 Digit		       8
    416		    4210		 Digit		       1
    416		    4211		 Digit		       0
    416		    4212		 Digit		       8
    416		    4213		 Digit		       1
    416		    4214		 Digit		       0
    416		    4215		 Digit		       8
    416		    4216		 Digit		       1
    416		    4217		 Digit		       0
    416		    4218		 Digit		       8
    416		    4219		 Digit		       1
    416		    4220		 Digit		       0
    416		    4221		 Digit		       8
    416		    4222		 Digit		       1
    416		    4223		 Digit		       0
    416		    4224		 Digit		       8
    416		    4225		 Digit		       1
    416		    4226		 Digit		       0
    416		    4227		 Digit		       8
    416		    4228		 Digit		       1
    416		    4229		 Digit		       0
    416		    4230		 Digit		       8
    416		    4231		 Digit		       1
    416		    4232		 Digit		       0
    416		    4233		 Digit		       8
    416		    4234		 Digit		       1
    416		    4235		 Digit		       0
    416		    4236		 Digit		       8
    416		    4237		 Digit		       1
    416		    4238		 Digit		       0
    416		    4239		 Digit		       8
    417		    4240		 Digit		       1
    417		    4241		 Digit		       0
    417		    4242		 Digit		       8
    417		    4243		 Digit		       1
    417		    4244		 Digit		       0
    417		    4245		 Digit		       8
    417		    4246		 Digit		       1
    417		    4247		 Digit		       0
    417		    4248		 Digit		       8
    417		    4249		 Digit		       1
    417		    4250		 Digit		       0
    417		    4251		 Digit		       8
    417		    4252		 Digit		       1
    417		    4253		 Digit		       0
    417		    4254		 Digit		       8
    417		    4255		 Digit		       1
    417		    4256		 Digit		       0
    417		    4257		 Digit		       8
    417		    4258		 Digit		       1
    417		    4259		 Digit		       0
    417		    4260		 Digit		       8
    417		    4261		 Digit		       1
    417		    4262		 Digit		       0
    417		    4263		 Digit		       8
    417		    4264		 Digit		       1
    417		    4265		 Digit		       0
    417		    4266		 Digit		       8
    417		    4267		 Digit		       1
    417		    4268		 Digit		       0
    417		    4269		 Digit		       8
    418		    4270		 Digit		       1
    418		    4271		 Digit		       0
    418		    4272		 Digit		       8
    418		    4273		 Digit		       1
    418		    4274		 Digit		       0
    418		    4275		 Digit		       8
    418		    4276		 Digit		       1
    418		    4277		 Digit		       0
    418		    4278		 Digit		       8
    418		    4279		 Digit		       1
    418		    4280		 Digit		       0
    418		    4281		 Digit		       8
    418		    4282		 Digit		       1
    418		    4283		 Digit		       0
    418		    4284		 Digit		       8
    418		    4285		 Digit		       1
    418		    4286		 Digit		       0
    418		    4287		 Digit		       8
    418		    4288		 Digit		       1
    418		    4289		 Digit		       0
    418		    4290		 Digit		       8
    418		    4291		 Digit		       1
    418		    4292		 Digit		       0
    418		    4293		 Digit		       8
    419		    4294		 Special symbol	       }
    419		    4295		 Special symbol	       ;
    421		    4296		 Keyword	  static
    421		    4297		 Keyword	   const
    421		    4298		 Identifier	    flex
    421		    4299		 Identifier	   int16
    421		    4300		 Identifier	       t
    421		    4301		 Identifier	      yy
    421		    4302		 Identifier	     chk
    421		    4303		 Digit		       3
    421		    4304		 Digit		       3
    421		    4305		 Digit		       9
    422		    4306		 Special symbol	       {
    422		    4307		 Digit		       0
    423		    4308		 Digit		       1
    423		    4309		 Digit		       1
    423		    4310		 Digit		       1
    423		    4311		 Digit		       1
    423		    4312		 Digit		       1
    423		    4313		 Digit		       1
    423		    4314		 Digit		       1
    423		    4315		 Digit		       1
    423		    4316		 Digit		       1
    423		    4317		 Digit		       1
    424		    4318		 Digit		       1
    424		    4319		 Digit		       1
    424		    4320		 Digit		       1
    424		    4321		 Digit		       1
    424		    4322		 Digit		       1
    424		    4323		 Digit		       1
    424		    4324		 Digit		       1
    424		    4325		 Digit		       1
    424		    4326		 Digit		       1
    424		    4327		 Digit		       1
    425		    4328		 Digit		       1
    425		    4329		 Digit		       1
    425		    4330		 Digit		       1
    425		    4331		 Digit		       1
    425		    4332		 Digit		       1
    425		    4333		 Digit		       1
    425		    4334		 Digit		       1
    425		    4335		 Digit		       1
    425		    4336		 Digit		       1
    425		    4337		 Digit		       1
    426		    4338		 Digit		       1
    426		    4339		 Digit		       1
    426		    4340		 Digit		       1
    426		    4341		 Digit		       1
    426		    4342		 Digit		       1
    426		    4343		 Digit		       1
    426		    4344		 Digit		       1
    426		    4345		 Digit		       1
    426		    4346		 Digit		       1
    426		    4347		 Digit		       1
    427		    4348		 Digit		       1
    427		    4349		 Digit		       1
    427		    4350		 Digit		       1
    427		    4351		 Digit		       1
    427		    4352		 Digit		       7
    427		    4353		 Digit		       1
    427		    4354		 Digit		       8
    427		    4355		 Digit		       1
    427		    4356		 Digit		       9
    427		    4357		 Digit		       2
    427		    4358		 Digit		       1
    427		    4359		 Digit		       2
    427		    4360		 Digit		       0
    427		    4361		 Digit		       2
    427		    4362		 Digit		       6
    427		    4363		 Digit		       2
    427		    4364		 Digit		       3
    428		    4365		 Digit		       2
    428		    4366		 Digit		       2
    428		    4367		 Digit		       2
    428		    4368		 Digit		       5
    428		    4369		 Digit		       2
    428		    4370		 Digit		       7
    428		    4371		 Digit		       2
    428		    4372		 Digit		       8
    428		    4373		 Digit		       1
    428		    4374		 Digit		       1
    428		    4375		 Digit		       1
    428		    4376		 Digit		       1
    428		    4377		 Digit		       7
    428		    4378		 Digit		       1
    428		    4379		 Digit		       8
    428		    4380		 Digit		       1
    428		    4381		 Digit		       9
    428		    4382		 Digit		       2
    428		    4383		 Digit		       1
    428		    4384		 Digit		       2
    428		    4385		 Digit		       0
    429		    4386		 Digit		       2
    429		    4387		 Digit		       6
    429		    4388		 Digit		       2
    429		    4389		 Digit		       3
    429		    4390		 Digit		       2
    429		    4391		 Digit		       2
    429		    4392		 Digit		       2
    429		    4393		 Digit		       5
    429		    4394		 Digit		       2
    429		    4395		 Digit		       7
    429		    4396		 Digit		       2
    429		    4397		 Digit		       8
    429		    4398		 Digit		       2
    429		    4399		 Digit		       4
    429		    4400		 Digit		       1
    429		    4401		 Digit		       9
    429		    4402		 Digit		       3
    429		    4403		 Digit		       7
    429		    4404		 Digit		       2
    429		    4405		 Digit		       9
    430		    4406		 Digit		       2
    430		    4407		 Digit		       5
    430		    4408		 Digit		       2
    430		    4409		 Digit		       1
    430		    4410		 Digit		       1
    430		    4411		 Digit		       9
    430		    4412		 Digit		       1
    430		    4413		 Digit		       8
    430		    4414		 Digit		       2
    430		    4415		 Digit		       0
    430		    4416		 Digit		       2
    430		    4417		 Digit		       2
    430		    4418		 Digit		       2
    430		    4419		 Digit		       3
    430		    4420		 Digit		       2
    430		    4421		 Digit		       2
    430		    4422		 Digit		       2
    430		    4423		 Digit		       4
    430		    4424		 Digit		       2
    430		    4425		 Digit		       6
    431		    4426		 Digit		       2
